"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"45x44",0,0,0,0,0,0,0,0,0,0
"20x14",0,0,2,0,0,0,2,0,0,0
"44x42",0,0,1,0,0,0,1,0,0,0
"42x3",2,1,14,1,0,1,0,0,1,0
"11x40",0,0,17,1,0,0,0,0,0,0
"33x40",1,0,339,3,0,21,8,0,7,0
"25x22",0,0,2,0,1,0,1,0,0,0
"10x36",0,0,17,1,0,3,0,0,0,0
"28x9",1,2,9,1,0,0,0,0,0,0
"19x33",0,2,192,3,0,50,22,0,24,0
"5x18",2,0,2,0,0,1,0,0,0,0
"42x14",2,1,7,0,0,5,0,0,0,0
"9x34",0,0,19,0,0,1,1,0,0,0
"46x8",0,0,1,0,0,1,0,0,0,0
"16x38",0,0,117,0,0,11,3,0,4,0
"31x6",1,0,6,0,1,1,0,0,0,0
"25x49",1,0,26,1,2,6,7,0,2,0
"21x38",0,0,154,0,0,10,3,0,2,0
"28x32",0,0,205,0,0,7,27,0,23,0
"18x7",0,0,4,0,0,0,0,0,0,0
"20x7",1,0,4,1,0,0,0,0,0,0
"33x35",0,0,141,0,0,11,2,0,1,0
"37x16",0,0,4,0,0,0,0,0,0,0
"7x28",0,0,19,0,0,0,0,0,0,0
"21x43",0,0,12,0,0,0,0,0,0,0
"32x49",0,0,9,1,0,1,1,0,1,0
"35x26",0,0,4,0,0,1,0,0,0,0
"24x48",0,0,7,0,0,3,0,0,0,0
"22x43",0,0,6,1,0,0,0,0,2,0
"33x44",0,0,1,0,0,0,0,0,0,0
"13x37",0,0,4,0,0,1,0,0,0,0
"36x40",0,0,13,0,0,6,0,0,0,0
"34x4",1,3,1,0,1,0,0,0,0,0
"34x20",0,0,10,0,0,2,1,0,0,0
"33x25",0,0,5,0,0,4,1,0,0,0
"44x24",0,0,1,0,0,3,0,0,0,0
"44x33",0,0,11,0,0,4,0,0,0,0
"18x12",2,0,3,0,0,2,0,0,0,0
"35x27",0,0,6,0,0,0,0,0,0,0
"30x10",0,0,7,0,0,0,1,0,0,0
"37x33",0,0,324,0,1,53,46,1,18,0
"23x7",0,0,4,2,0,2,1,0,0,0
"20x12",0,0,4,0,0,1,0,0,0,0
"18x26",0,0,4,0,0,0,0,0,0,0
"7x41",0,0,40,0,0,1,0,0,0,0
"39x34",0,0,19,0,0,2,0,0,0,0
"21x8",1,0,12,0,0,1,0,0,1,0
"9x28",0,0,11,0,0,2,0,0,0,0
"36x29",0,0,6,0,0,4,0,0,0,0
"5x41",1,0,33,0,0,3,0,0,0,0
"41x14",0,1,7,0,0,1,0,0,0,0
"28x24",0,0,47,1,0,9,7,0,2,0
"14x33",0,0,22,1,0,1,0,0,0,0
"12x47",0,0,0,0,0,0,1,0,0,0
"42x12",0,0,2,0,0,0,0,0,0,0
"44x21",0,0,1,0,0,0,0,0,0,0
"37x10",0,0,11,0,0,0,0,0,0,0
"24x47",0,0,1,1,1,0,1,0,0,0
"41x22",0,0,0,0,1,0,0,0,0,0
"6x19",1,0,9,0,0,0,0,0,0,0
"31x43",0,0,9,0,0,1,0,0,0,0
"49x9",0,0,8,0,0,1,0,0,1,0
"48x2",0,0,55,0,0,1,0,0,0,1
"9x35",0,0,10,1,0,8,0,0,0,0
"30x24",0,0,32,2,0,9,11,0,5,0
"38x30",0,0,47,0,0,6,5,0,8,0
"40x31",1,0,10,0,0,5,1,0,0,0
"19x17",2,0,0,0,0,0,0,0,0,0
"3x24",0,0,2,0,0,0,0,0,0,0
"32x43",0,0,9,0,0,1,1,0,0,0
"17x40",0,0,25,1,0,4,1,0,1,0
"19x18",1,0,1,0,0,1,0,0,0,0
"43x6",0,0,5,0,0,0,0,0,0,0
"15x27",0,0,4,0,0,1,0,0,0,0
"15x33",0,0,77,1,0,21,36,0,4,0
"40x33",0,0,13,0,0,6,1,0,0,0
"26x29",0,0,131,0,0,14,25,0,13,0
"45x7",0,0,2,0,0,1,0,0,0,0
"43x23",0,0,5,0,0,1,0,0,0,0
"27x21",0,0,12,0,0,1,0,0,0,0
