index,barcode,row,col,imagerow,imagecol,is_center
0,45x44,45,44,2417,2359,0
1,20x14,20,14,1052,723,0
2,44x42,44,42,2363,2250,0
3,42x3,42,3,2253,123,1
4,11x40,11,40,560,2141,0
5,33x40,33,40,1762,2141,0
6,25x22,25,22,1325,1159,0
7,10x36,10,36,505,1923,0
8,28x9,28,9,1489,450,1
9,19x33,19,33,997,1759,0
10,5x18,5,18,232,941,0
11,42x14,42,14,2253,723,0
12,9x34,9,34,451,1814,0
13,46x8,46,8,2472,395,0
14,16x38,16,38,833,2032,0
15,31x6,31,6,1652,286,0
16,25x49,25,49,1325,2632,0
17,21x38,21,38,1106,2032,0
18,28x32,28,32,1489,1705,0
19,18x7,18,7,942,341,0
20,20x7,20,7,1052,341,1
21,33x35,33,35,1762,1868,0
22,37x16,37,16,1980,832,0
23,7x28,7,28,341,1486,0
24,21x43,21,43,1106,2305,0
25,32x49,32,49,1707,2632,0
26,35x26,35,26,1871,1377,0
27,24x48,24,48,1270,2577,0
28,22x43,22,43,1161,2305,1
29,33x44,33,44,1762,2359,0
30,13x37,13,37,669,1977,0
31,36x40,36,40,1926,2141,0
32,34x4,34,4,1816,177,0
33,34x20,34,20,1816,1050,0
34,33x25,33,25,1762,1323,0
35,44x24,44,24,2363,1268,0
36,44x33,44,33,2363,1759,1
37,18x12,18,12,942,614,0
38,35x27,35,27,1871,1432,0
39,30x10,30,10,1598,505,0
40,37x33,37,33,1980,1759,0
41,23x7,23,7,1215,341,0
42,20x12,20,12,1052,614,0
43,18x26,18,26,942,1377,0
44,7x41,7,41,341,2195,0
45,39x34,39,34,2089,1814,0
46,21x8,21,8,1106,395,0
47,9x28,9,28,451,1486,0
48,36x29,36,29,1926,1541,1
49,5x41,5,41,232,2195,0
50,41x14,41,14,2199,723,0
51,28x24,28,24,1489,1268,0
52,14x33,14,33,724,1759,1
53,12x47,12,47,615,2523,1
54,42x12,42,12,2253,614,0
55,44x21,44,21,2363,1105,1
56,37x10,37,10,1980,505,0
57,24x47,24,47,1270,2523,1
58,41x22,41,22,2199,1159,0
59,6x19,6,19,287,995,1
60,31x43,31,43,1652,2305,0
61,49x9,49,9,2636,450,0
62,48x2,48,2,2581,68,0
63,9x35,9,35,451,1868,0
64,30x24,30,24,1598,1268,0
65,38x30,38,30,2035,1595,0
66,40x31,40,31,2144,1650,1
67,19x17,19,17,997,886,0
68,3x24,3,24,123,1268,0
69,32x43,32,43,1707,2305,1
70,17x40,17,40,888,2141,0
71,19x18,19,18,997,941,0
72,43x6,43,6,2308,286,0
73,15x27,15,27,778,1432,0
74,15x33,15,33,778,1759,0
75,40x33,40,33,2144,1759,1
76,26x29,26,29,1379,1541,1
77,45x7,45,7,2417,341,0
78,43x23,43,23,2308,1214,0
79,27x21,27,21,1434,1105,0
80,26x19,26,19,1379,995,1
81,5x26,5,26,232,1377,0
82,43x12,43,12,2308,614,0
83,15x36,15,36,778,1923,0
84,30x49,30,49,1598,2632,0
85,10x49,10,49,505,2632,0
86,45x32,45,32,2417,1705,0
87,21x39,21,39,1106,2086,0
88,38x42,38,42,2035,2250,0
89,20x28,20,28,1052,1486,0
90,10x40,10,40,505,2141,0
91,41x21,41,21,2199,1105,0
92,10x44,10,44,505,2359,0
93,35x10,35,10,1871,505,0
94,33x39,33,39,1762,2086,0
95,18x17,18,17,942,886,1
96,17x30,17,30,888,1595,0
97,42x35,42,35,2253,1868,1
98,17x29,17,29,888,1541,0
99,45x43,45,43,2417,2305,0
100,44x13,44,13,2363,668,0
101,31x19,31,19,1652,995,0
102,14x46,14,46,724,2468,0
103,9x30,9,30,451,1595,0
104,24x8,24,8,1270,395,0
105,46x5,46,5,2472,232,1
106,41x13,41,13,2199,668,0
107,29x33,29,33,1543,1759,0
108,25x16,25,16,1325,832,0
109,28x41,28,41,1489,2195,1
110,21x18,21,18,1106,941,0
111,3x34,3,34,123,1814,0
112,47x8,47,8,2526,395,0
113,35x28,35,28,1871,1486,0
114,20x15,20,15,1052,777,1
115,19x42,19,42,997,2250,0
116,40x41,40,41,2144,2195,1
117,27x28,27,28,1434,1486,0
118,29x22,29,22,1543,1159,0
119,38x10,38,10,2035,505,0
120,4x20,4,20,178,1050,0
121,35x15,35,15,1871,777,0
122,21x35,21,35,1106,1868,0
123,33x48,33,48,1762,2577,0
124,3x40,3,40,123,2141,0
125,35x44,35,44,1871,2359,0
126,40x8,40,8,2144,395,0
127,7x31,7,31,341,1650,0
128,23x23,23,23,1215,1214,0
129,32x35,32,35,1707,1868,1
130,16x14,16,14,833,723,0
131,43x5,43,5,2308,232,0
132,35x40,35,40,1871,2141,0
133,45x6,45,6,2417,286,0
134,34x38,34,38,1816,2032,0
135,20x34,20,34,1052,1814,0
136,17x9,17,9,888,450,0
137,21x47,21,47,1106,2523,0
138,17x36,17,36,888,1923,0
139,43x30,43,30,2308,1595,0
140,49x6,49,6,2636,286,0
141,42x30,42,30,2253,1595,0
142,27x9,27,9,1434,450,0
143,22x37,22,37,1161,1977,1
144,28x19,28,19,1489,995,1
145,37x7,37,7,1980,341,0
146,19x9,19,9,997,450,0
147,24x17,24,17,1270,886,1
148,11x45,11,45,560,2414,0
149,5x38,5,38,232,2032,0
150,41x35,41,35,2199,1868,0
151,34x8,34,8,1816,395,0
152,3x20,3,20,123,1050,0
153,20x31,20,31,1052,1650,1
154,21x7,21,7,1106,341,0
155,11x38,11,38,560,2032,0
156,25x40,25,40,1325,2141,0
157,34x3,34,3,1816,123,1
158,15x17,15,17,778,886,0
159,23x38,23,38,1215,2032,0
160,41x24,41,24,2199,1268,0
161,14x41,14,41,724,2195,1
162,43x39,43,39,2308,2086,0
163,45x17,45,17,2417,886,0
164,27x26,27,26,1434,1377,0
165,7x37,7,37,341,1977,0
166,35x34,35,34,1871,1814,0
167,18x19,18,19,942,995,0
168,15x28,15,28,778,1486,0
