Position,row,col,imagerow,imagecol,index,is_center
90x88,90,88,2417.0,2359.0,0,1
90x89,90,89,2417.0,2386.2727272727275,1,0
91x88,91,88,2444.313131313131,2359.0,2,0
91x89,91,89,2444.313131313131,2386.2727272727275,3,0
40x28,40,28,1052.0,723.0,4,1
40x29,40,29,1052.0,750.2727272727273,5,0
41x28,41,28,1079.3131313131314,723.0,6,0
41x29,41,29,1079.3131313131314,750.2727272727273,7,0
88x84,88,84,2363.0,2250.0,8,1
88x85,88,85,2363.0,2277.2727272727275,9,0
89x84,89,84,2390.313131313131,2250.0,10,0
89x85,89,85,2390.313131313131,2277.2727272727275,11,0
84x6,84,6,2253.0,123.0,12,1
84x7,84,7,2253.0,150.27272727272728,13,0
85x6,85,6,2280.313131313131,123.0,14,0
85x7,85,7,2280.313131313131,150.27272727272728,15,0
22x80,22,80,560.0,2141.0,16,1
22x81,22,81,560.0,2168.2727272727275,17,0
23x80,23,80,587.3131313131313,2141.0,18,0
23x81,23,81,587.3131313131313,2168.2727272727275,19,0
66x80,66,80,1762.0,2141.0,20,1
66x81,66,81,1762.0,2168.2727272727275,21,0
67x80,67,80,1789.3131313131314,2141.0,22,0
67x81,67,81,1789.3131313131314,2168.2727272727275,23,0
50x44,50,44,1325.0,1159.0,24,1
50x45,50,45,1325.0,1186.2727272727273,25,0
51x44,51,44,1352.3131313131314,1159.0,26,0
51x45,51,45,1352.3131313131314,1186.2727272727273,27,0
20x72,20,72,505.0,1923.0,28,1
20x73,20,73,505.0,1950.2727272727273,29,0
21x72,21,72,532.3131313131313,1923.0,30,0
21x73,21,73,532.3131313131313,1950.2727272727273,31,0
56x18,56,18,1489.0,450.0,32,1
56x19,56,19,1489.0,477.27272727272725,33,0
57x18,57,18,1516.3131313131314,450.0,34,0
57x19,57,19,1516.3131313131314,477.27272727272725,35,0
38x66,38,66,997.0,1759.0,36,1
38x67,38,67,997.0,1786.2727272727273,37,0
39x66,39,66,1024.3131313131314,1759.0,38,0
39x67,39,67,1024.3131313131314,1786.2727272727273,39,0
10x36,10,36,232.0,941.0,40,1
10x37,10,37,232.0,968.2727272727273,41,0
11x36,11,36,259.3131313131313,941.0,42,0
11x37,11,37,259.3131313131313,968.2727272727273,43,0
84x28,84,28,2253.0,723.0,44,1
84x29,84,29,2253.0,750.2727272727273,45,0
85x28,85,28,2280.313131313131,723.0,46,0
85x29,85,29,2280.313131313131,750.2727272727273,47,0
18x68,18,68,451.0,1814.0,48,1
18x69,18,69,451.0,1841.2727272727273,49,0
19x68,19,68,478.3131313131313,1814.0,50,0
19x69,19,69,478.3131313131313,1841.2727272727273,51,0
92x16,92,16,2472.0,395.0,52,1
92x17,92,17,2472.0,422.27272727272725,53,0
93x16,93,16,2499.313131313131,395.0,54,0
93x17,93,17,2499.313131313131,422.27272727272725,55,0
32x76,32,76,833.0,2032.0,56,1
32x77,32,77,833.0,2059.2727272727275,57,0
33x76,33,76,860.3131313131313,2032.0,58,0
33x77,33,77,860.3131313131313,2059.2727272727275,59,0
62x12,62,12,1652.0,286.0,60,1
62x13,62,13,1652.0,313.27272727272725,61,0
63x12,63,12,1679.3131313131314,286.0,62,0
